time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451850000	7.18264	20.2217	4.96056	3.55099	0.480808	radar	0.222398	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.91959	20.1394	5.00442	3.56277	0.466581	lidar	0.788225	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.6951	20.0475	4.99167	3.57895	0.454841	radar	0.469055	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.44696	19.9568	5.01707	3.5917	0.443544	lidar	0.396591	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.23041	19.8629	5.00174	3.60905	0.439122	radar	2.81601	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.96832	19.77	5.04615	3.61629	0.422378	lidar	0.924341	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.74198	19.6238	5.07937	3.65557	0.454557	radar	2.01635	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.56014	19.5019	5.02924	3.68333	0.46103	lidar	1.23735	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.35914	19.3524	5.02479	3.71678	0.475324	radar	1.73395	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.14385	19.2514	5.0161	3.72633	0.460217	lidar	1.91664	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.95004	19.1395	4.96804	3.73547	0.435403	radar	4.62138	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.78379	18.9885	4.92616	3.76877	0.448935	lidar	0.701996	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.57615	18.8384	4.95216	3.79448	0.458753	radar	1.48169	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452500000	4.39665	18.7066	4.92272	3.81414	0.455888	lidar	1.11546	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
